timestamp,price,symbol,side,quantity,reason
2025-11-24 05:00:00+00:00,275.86,AAPL,buy,54.0,entry
2025-12-03 05:00:00+00:00,284.16,AAPL,sell,54.0,exit
2025-12-05 05:00:00+00:00,685.62,SPY,buy,21.0,entry
2025-12-08 05:00:00+00:00,683.68,SPY,sell,21.0,exit
2025-12-10 05:00:00+00:00,627.69,QQQ,buy,23.0,entry
2025-12-10 05:00:00+00:00,687.59,SPY,buy,21.0,entry
2025-12-11 05:00:00+00:00,625.61,QQQ,sell,23.0,exit
2025-12-12 05:00:00+00:00,681.8,SPY,sell,21.0,exit
2025-12-24 05:00:00+00:00,690.27,SPY,buy,21.0,entry
2025-12-26 05:00:00+00:00,690.26,SPY,sell,21.0,exit
2026-01-06 05:00:00+00:00,691.81,SPY,buy,21.0,entry
2026-01-07 05:00:00+00:00,689.64,SPY,sell,21.0,exit
2026-01-09 05:00:00+00:00,694.005,SPY,buy,21.0,entry
2026-01-12 05:00:00+00:00,627.19,QQQ,buy,23.0,entry
2026-01-13 05:00:00+00:00,693.71,SPY,sell,21.0,exit
2026-01-13 05:00:00+00:00,626.105,QQQ,sell,23.0,exit
2026-01-27 05:00:00+00:00,631.055,QQQ,buy,23.0,entry
2026-01-27 05:00:00+00:00,695.53,SPY,buy,21.0,entry
2026-01-28 05:00:00+00:00,695.39,SPY,sell,21.0,exit
2026-01-28 05:00:00+00:00,191.52,NVDA,buy,78.0,entry
2026-01-29 05:00:00+00:00,629.36,QQQ,sell,23.0,exit
2026-01-30 05:00:00+00:00,191.13,NVDA,sell,78.0,exit
2026-02-06 05:00:00+00:00,278.11,AAPL,buy,53.0,entry
2026-02-09 05:00:00+00:00,274.5,AAPL,sell,53.0,exit
2026-02-24 05:00:00+00:00,192.865,NVDA,buy,77.0,entry
2026-02-26 05:00:00+00:00,184.86,NVDA,sell,77.0,exit
2026-04-14 04:00:00+00:00,196.5,NVDA,buy,76.0,entry
2026-04-14 04:00:00+00:00,628.58,QQQ,buy,23.0,entry
2026-04-14 04:00:00+00:00,694.36,SPY,buy,21.0,entry
2026-04-15 04:00:00+00:00,699.75,SPY,sell,21.0,exit
2026-04-15 04:00:00+00:00,266.31,AAPL,buy,56.0,entry
2026-04-16 04:00:00+00:00,198.26,NVDA,sell,76.0,exit
2026-04-16 04:00:00+00:00,263.325,AAPL,sell,56.0,exit
